당기순이익	매출액	법인세차감전 순이익	영업이익
128338900881.0	168076353849.0	134727872036.0	15588993462.0
42297929527.0	171830562371.0	61947887991.0	28652239477.0
23948737546.0	174216176601.0	30458790811.0	24946110993.0
194503503708.0	675539717333.0	172950439727.0	98410983144.0
22405476295.0	154054946269.0	27212338263.0	21171455965.0
27925116513.0	165751429305.0	27333768979.0	26099975908.0
118787164570.0	638447517670.0	132076824230.0	79561775827.0
55583181698.0	657566885958.0	53532268897.0	2411599959.0
76935281126.0	206733700127.0	87071735414.0	84063958887.0
269456939222.0		301908445724.0	261576954819.0
44455752664.0	195551461204.0	50196985578.0	50691660543.0
53292262966.0	203321475900.0	62490871922.0	58434118322.0
52090410630.0	220296871654.0	61069942175.0	57762730829.0
178960991188.0	824846243568.0	209100174869.0	199321932160.0
49179873211.0	203780410204.0	56829490746.0	54413491651.0
58276452379.0	223788576189.0	67285972920.0	64841949930.0
42938459670.0	194094262016.0	49272004533.0	47500483938.0
218355604198.0	847957280682.0	221649043091.0	211461289513.0
42625605668.0	210230740577.0	50454495817.0	46393545720.0
27909626663.0	199119202850.0	41206261285.0	37550975008.0
78344835468.0	229042787702.0	86760003245.0	67833385715.0
170604909376.0	847609750228.0	196706021587.0	170875981774.0
30969379315.0	195127459342.0	35960073539.0	33805866932.0
12966531467.0	175711152064.0	20066747627.0	9892175709.0
64943578707.0	221034286781.0	70907986606.0	60346330260.0
145757718049.0	820942186292.0	170624276390.0	156524444435.0
63882478622.0	236964798559.0	71253853278.0	67408427139.0
51818157203.0	231354517818.0	57974997950.0	59574281473.0
61919392498.0	243924282065.0	68942494214.0	66389829376.0
201000675808.0	963300354498.0	227739759554.0	228305200484.0
39851966905.0	269795958448.0	47291745219.0	44036702815.0
99754172372.0	308674236589.0	108171962522.0	102702470153.0
75248945621.0	284162272258.0	86242902712.0	77869391496.0
163859841867.0	1095895770449.0	247275364312.0	245248895826.0
32363005473.0	229423605644.0	35513608212.0	32474591136.0
36322826184.0	244459288417.0	41547074475.0	44549890634.0
91214651760.0	297311513253.0	100979429815.0	98841466906.0
187234321156.0	1089668057103.0	205603972693.0	256563452628.0
114062056334.0	348673909783.0	125686828295.0	125534496871.0
108476328333.0	363522852688.0	121801932750.0	124767967904.0
120683062367.0	381396799734.0	131000789284.0	137275967046.0
350713050064.0	1390995724547.0	391291876938.0	418268299588.0
17874504351.0	132062478625.0	20838369354.0	20762790240.0
10181707731.0	90807580418.0	14210874017.5	15018750725.0
5596900978.0	36926621783.0	6373600120.0	6234906269.0
5335278247.0	36929914692.0	6083230029.0	6295749148.0
14440441739.5	100085370658.5	16718030477.0	16790269997.5
5778404991.0	39924303436.0	6522657570.0	6467418311.0
7417516588.0	43944668217.0	8445931809.0	8334524718.0
14592936981.0	159960312377.0	14461407732.0	15500129435.0
5269021011.0	40805270470.0	6495254753.0	6601229042.0
5831295997.0	41408421302.0	7117679653.0	7401758762.0
6027757179.0	40311045869.0	5706628712.0	6306092181.0
19599719713.0	186602477367.0	19317277595.0	25210116894.0
