Date,Open,High,Low,Close,Volume,Change
2017-08-11,2000,2010,2000,2010,14701,0.004999999999999893
2017-08-14,2000,2010,2000,2010,242,0.0
2017-08-16,2000,2000,2000,2000,2817,-0.00497512437810943
2017-08-17,2000,2000,2000,2000,517,0.0
2017-08-18,2005,2015,2005,2010,13000,0.004999999999999893
2017-08-21,2000,2015,2000,2015,795,0.0024875621890547706
2017-08-22,2000,2020,2000,2020,4688,0.002481389578163684
2017-08-23,2000,2020,2000,2015,9901,-0.0024752475247524774
2017-08-24,2015,2015,2015,2015,11042,0.0
2017-08-25,2015,2025,2015,2020,15092,0.002481389578163684
2017-08-28,2010,2025,2010,2025,15080,0.0024752475247524774
2017-08-29,2025,2030,2020,2030,7424,0.0024691358024691024
2017-08-30,2030,2030,2030,2030,11616,0.0
2017-08-31,2030,2030,2020,2030,662,0.0
2017-09-01,2020,2030,2020,2020,580,-0.0049261083743842304
2017-09-04,2015,2020,2015,2020,5450,0.0
2017-09-05,2010,2020,2010,2015,2067,-0.0024752475247524774
2017-09-06,2020,2030,2015,2015,16966,0.0
2017-09-07,2010,2020,2010,2020,8289,0.002481389578163684
2017-09-08,2020,2020,2000,2020,25854,0.0
2017-09-11,2020,2020,2010,2015,6092,-0.0024752475247524774
2017-09-12,2015,2020,2015,2020,5082,0.002481389578163684
2017-09-13,2010,2010,2005,2010,5585,-0.004950495049504955
2017-09-14,2005,2010,2005,2005,1559,-0.0024875621890547706
2017-09-15,2005,2015,2005,2010,3352,0.0024937655860348684
2017-09-18,2010,2015,2010,2015,3891,0.0024875621890547706
2017-09-19,2015,2015,2000,2010,2641,-0.002481389578163795
2017-09-20,2005,2020,2005,2020,701,0.004975124378109541
2017-09-21,2015,2015,2015,2015,0,-0.0024752475247524774
2017-09-22,2005,2005,2005,2005,500,-0.00496277915632759
2017-09-25,2010,2010,2010,2010,7000,0.0024937655860348684
2017-09-26,2010,2015,2010,2015,10767,0.0024875621890547706
2017-09-27,2005,2010,2005,2010,548,-0.002481389578163795
2017-09-28,2020,2025,2015,2025,7611,0.00746268656716409
2017-09-29,2025,2025,2010,2020,2775,-0.0024691358024691024
2017-10-10,2015,2025,2010,2025,1226,0.0024752475247524774
2017-10-11,2025,2025,2010,2020,4570,-0.0024691358024691024
2017-10-12,2025,2025,2010,2025,2659,0.0024752475247524774
2017-10-13,2010,2025,2010,2025,5001,0.0
2017-10-16,2025,2025,2020,2020,1768,-0.0024691358024691024
2017-10-17,2020,2025,2015,2025,14807,0.0024752475247524774
2017-10-18,2025,2025,2025,2025,5,0.0
